,Alcohol,Appellation,Bottle Size,Category,Country,Date Published,Description,Designation,Name,Price,Province,Rating,Region,Subregion,User Avg Rating,Variety,Vintage,Winery
0,13.5%,"Vouvray, Loire Valley, France",750 ml,White, France,7/1/2021,"
                      This structured wine is tight, with a strong mineral texture to match the concentrated acidity and rich potential of the fruits. Almonds and layers of fruit and acidity indicate how this impressive wine will age. Drink from 2023.                      Roger Voss ",L'Indigène Sec,Domaine Bourillon d'Orléans 2019 L'Indigène Sec  (Vouvray),$90, Loire Valley,94,Vouvray,,Not rated yet [Add Your Review],Chenin Blanc,2019,Domaine Bourillon d'Orléans
1,14%,"Vouvray, Loire Valley, France",750 ml,White, France,7/1/2021,"
                      Beautifully perfumed with ripe yellow fruits and almonds, this wine is richly concentrated and intense. Acidity shears through the wine at this young stage, adding to the structure and intensity. Age this wine and drink from 2022.                      Roger Voss ",La Coulée d'Argent Sec Montgouverne,Domaine Bourillon d'Orléans 2019 La Coulée d'Argent Sec Montgouverne  (Vouvray),$50, Loire Valley,93,Vouvray,,Not rated yet [Add Your Review],Chenin Blanc,2019,Domaine Bourillon d'Orléans
2,12.5%,"Anjou, Loire Valley, France",750 ml,White, France,7/1/2021,"
                      This wine has developed a nutty quality both in its aroma and its palate. Wood aging has brought in spice and a delicious balance between apple fruits and toastiness. Drink now. Organic.                      Roger Voss ",Les Saules de Montbenault,Château de Bois-Brinçon 2017 Les Saules de Montbenault Chenin Blanc (Anjou),$45, Loire Valley,93,Anjou,,Not rated yet [Add Your Review],Chenin Blanc,2017,Château de Bois-Brinçon
3,13%,"Anjou, Loire Valley, France",750 ml,White, France,7/1/2021,"
                      Light wood aging gives this wine extra richness. Yellow-fruit and honey flavors are delicious, with hints of almonds and a soft vanilla texture. The wine is rich while keeping all its freshness. Drink from 2022.                      Roger Voss ",Terre de Grés,Château de Bois-Brinçon 2019 Terre de Grés Chenin Blanc (Anjou),$33, Loire Valley,93,Anjou,,Not rated yet [Add Your Review],Chenin Blanc,2019,Château de Bois-Brinçon
4,14%,"Vouvray, Loire Valley, France",750 ml,White, France,7/1/2021,"
                      While this wine is labeled Sec (dry), the rich citrus and baked-apple flavors gives it a sumptuous feel. With ripe flavors and light acidity, the wine is tangily finished with lemon zest. Drink from 2022.                      Roger Voss ",La Coulée d'Argent Sec Montgouverne,Domaine Bourillon d'Orléans 2020 La Coulée d'Argent Sec Montgouverne  (Vouvray),$50, Loire Valley,93,Vouvray,,Not rated yet [Add Your Review],Chenin Blanc,2020,Domaine Bourillon d'Orléans
5,13%,"Saumur, Loire Valley, France",750 ml,White, France,7/1/2021,"
                      Matured on its lees to give extra richness, this wine is packed with mango and yellow fruits as well as citrus. A taste of honey hovers in the background of this wine. Drink from 2022. Organic.                      Roger Voss ",Terres Blanches,Domaine de l'Enchantoir 2019 Terres Blanches  (Saumur),$20, Loire Valley,92,Saumur,,Not rated yet [Add Your Review],Chenin Blanc,2019,Domaine de l'Enchantoir
6,12%,"Gisborne, New Zealand",750 ml,White, New Zealand,7/1/2021,"
                      Honey hued and also intensely honeycomb on the nose, this wine offers a mingling with wet wool, candied ginger and grilled pineapple, the mouthfeel is rich, slippery and concentrated with a lovely lift of acidity to buoy it and a lingering tangy finish. Full throttle yet never forced, this walks to its own beat.                      Christina Pickard ",Te Arai Vineyard,Millton 2018 Te Arai Vineyard Chenin Blanc (Gisborne),$33,Gisborne,92,,,Not rated yet [Add Your Review],Chenin Blanc,2018,Millton
7,12%,"Vouvray, Loire Valley, France",750 ml,White, France,7/1/2021,"
                      The green-apple freshness of this wine is perfumed and refreshing, with an elegant mouthfeel. The wine is fresh, textured and packed with fruitiness. Drink from late 2021.                      Roger Voss ",Les Promenards,Mathieu Cosmé 2019 Les Promenards  (Vouvray),$27, Loire Valley,91,Vouvray,,Not rated yet [Add Your Review],Chenin Blanc,2019,Mathieu Cosmé
8,12.5%,"Vouvray, Loire Valley, France",750 ml,White, France,7/1/2021,"
                      Off-dry can be a difficult style to pin down. But this wine has great balance, poised between touches of honey with mango fruitiness and zesty, mineral textures and acidity. The wine is young and its elements need to coalesce further. Wait to drink until 2022.                      Roger Voss ",La Bourdonnerie Demi-Sec,Domaine Bourillon d'Orléans 2020 La Bourdonnerie Demi-Sec  (Vouvray),$50, Loire Valley,91,Vouvray,,Not rated yet [Add Your Review],Chenin Blanc,2020,Domaine Bourillon d'Orléans
9,13%,"Hawke's Bay, New Zealand",750 ml,White, New Zealand,7/1/2021,"
                      This is a bright, balanced wine from a variety that deserves more love in New Zealand. A radiant color, it offers plenty of varietal character in the form of red apple, ginger, honeysuckle, beeswax and wool. Aromas morph into flavors on a full figured palate that neatly balances fruit intensity with bright acidity, finishing on a spicy note. A fairly straightforward but crowd pleasing bottling.                      Christina Pickard ",Guinta by Daniel Brennan,Decibel 2019 Guinta by Daniel Brennan Chenin Blanc (Hawke's Bay),$26,Hawke's Bay,91,,,Not rated yet [Add Your Review],Chenin Blanc,2019,Decibel
