,Alcohol,Appellation,Bottle Size,Category,Country,Date Published,Description,Designation,Name,Price,Province,Rating,Region,Subregion,User Avg Rating,Variety,Vintage,Winery
0,14.3%,"El Dorado, Sierra Foothills, California, US",750 ml,White, US,7/1/2021,"
                      Floral and toasty aromas top beautiful fruit and baking-spice flavors in this bold but nicely layered and concentrated wine. This is the richest of Starfield's stand-out 2019 whites, showing an expansive mouthfeel and slowly resonating flavors that lead to a lingering finish.                      Jim Gordon ",Estate Grown,Starfield 2019 Estate Grown Viognier (El Dorado),$32, California,93, Sierra Foothills,El Dorado,Not rated yet [Add Your Review],Viognier,2019,Starfield
1,13.5%,"Mendocino Ridge, Mendocino County, California, US",750 ml,White, US,7/1/2021,"
                      This rich, full-bodied wine is packed with ripe pears, butter, vanilla and toasted almonds without going absolutely over the top. Plenty of overt fruitiness is well-matched by juicy acidity for good balance and a sense of freshness. Best from 2024.                      Jim Gordon ",Valenti Ranch,Drew 2018 Valenti Ranch Viognier (Mendocino Ridge),$38, California,93, Mendocino County,Mendocino Ridge,Not rated yet [Add Your Review],Viognier,2018,Drew
2,14.2%,"Fountaingrove District, Sonoma, California, US",750 ml,White, US,7/1/2021,"
                      A 100% varietal wine aged in stainless-steel barrels, this white is waxy and earthy, tasting of apple skin, apricot and nectarine. A steely backbone preserves freshness and a crispness to the texture, showing a well-balanced approach.                      Virginie Boone ",Kick Ranch Vineyard,Bricoleur 2019 Kick Ranch Vineyard Viognier (Fountaingrove District),$32, California,92, Sonoma,Fountaingrove District,Not rated yet [Add Your Review],Viognier,2019,Bricoleur
3,14%,"Bennett Valley, Sonoma, California, US",750 ml,White, US,7/1/2021,"
                      Lush, vibrant and elongated on the palate, this impressive white from the cooler climes of Sonoma is juicy and fresh in nectarine, apricot and orange.                      Virginie Boone ",,Flanagan 2019 Viognier (Bennett Valley),$55, California,92, Sonoma,Bennett Valley,Not rated yet [Add Your Review],Viognier,2019,Flanagan
4,14.1%,"Paso Robles, Central Coast, California, US",750 ml,White, US,7/1/2021,"
                      Creamy aromas of baked peach, soft caramel and apricot blossom make for an engaging nose on this bottling. It's clean, crisp and chalky on the palate, where Key lime blossom and strongly mineral tones make for a very clean and focused experience.                      Matt Kettmann ",Family Reserve,Donati Family Vineyard 2019 Family Reserve Viognier (Paso Robles),$30, California,91, Central Coast,Paso Robles,Not rated yet [Add Your Review],Viognier,2019,Donati Family Vineyard
5,14.5%,"Santa Maria Valley, Central Coast, California, US",750 ml,White, US,7/1/2021,"
                      There's a zesty citrus edge to the rounded peach middle on the nose of this very cleanly made wine. A firm tension frames the sip, where a steel minerality cuts through the lime-peel flavors, with an acidity pumping into the finish.                      Matt Kettmann ",Bien Nacido Vineyard,Jaffurs 2019 Bien Nacido Vineyard Viognier (Santa Maria Valley),$27, California,90, Central Coast,Santa Maria Valley,Not rated yet [Add Your Review],Viognier,2019,Jaffurs
6,14.5%,"Santa Maria Valley, Central Coast, California, US",750 ml,White, US,7/1/2021,"
                      There's a zesty citrus edge to the rounded peach middle on the nose of this very cleanly made wine. A firm tension frames the sip, where a steel minerality cuts through the lime-peel flavors, with an acidity pumping into the finish.                      Matt Kettmann ",Bien Nacido Vineyard,Jaffurs 2019 Bien Nacido Vineyard Viognier (Santa Maria Valley),$27, California,90, Central Coast,Santa Maria Valley,Not rated yet [Add Your Review],Viognier,2019,Jaffurs
7,14.1%,"Sonoma Valley, Sonoma, California, US",750 ml,White, US,7/1/2021,"
                      This wine opens with bright aromas of peach and jasmine. Orange peel, apricot and more peach continue on the cohesive palate, making this a balanced wine with wide appeal.                      Virginie Boone ",Destination Series Estate Grown,Kunde 2019 Destination Series Estate Grown Viognier (Sonoma Valley),$30, California,90, Sonoma,Sonoma Valley,Not rated yet [Add Your Review],Viognier,2019,Kunde
8,14.5%,"Côtes du Lot, Southwest France, France",750 ml,White, France,7/1/2021,"
                      From a vineyard planted in 2004, this wine is rich and full. Apricot and spice flavors dominate the opulent wine, with a touch of mineral texture. It is ready to drink.                      Roger Voss ",La Lande Cavagnac,Domaine de Cause 2018 La Lande Cavagnac Viognier (Côtes du Lot),N/A, Southwest France,90,Côtes du Lot,,Not rated yet [Add Your Review],Viognier,2018,Domaine de Cause
9,14.2%,"Santa Barbara County, Central Coast, California, US",750 ml,White, US,7/1/2021,"
                      A toasted and salted cashew aroma meets with apricot and peach syrup accents on the nose of this bottling. The rounded stone-fruit flavors come through on the sip as well, but are held in check by the lanolin-like elements.                      Matt Kettmann ",White Hawk Vineyard,Glunz 2019 White Hawk Vineyard Viognier (Santa Barbara County),$22, California,90, Central Coast,Santa Barbara County,Not rated yet [Add Your Review],Viognier,2019,Glunz
